Institute_code;Institute_name_it;Institute_type;;
7334 ;Accademia di Belle Arti Albertina Torino;Pubblico - Statale;;
7238 ;Accademia di Belle Arti Bari;Pubblico - Statale;;
7195 ;Accademia di Belle Arti Bologna;Pubblico - Statale;;
7299 ;Accademia di Belle Arti  Brera Milano;Pubblico - Statale;;
7292 ;Accademia di Belle Arti Catania;Pubblico - Statale;;
7212 ;Accademia di Belle Arti Catanzaro;Pubblico - Statale;;
7243 ;Accademia di Belle Arti Firenze;Pubblico - Statale;;
7245 ;Accademia di Belle Arti Foggia;Pubblico - Statale;;
7310 ;Accademia di Belle Arti Frosinone;Pubblico - Statale;;
7267 ;Accademia di Belle Arti di Genova;Pubblico - Statale;;
7237 ;Accademia di Belle Arti L'Aquila;Pubblico - Statale;;
7321 ;Accademia di Belle Arti Lecce;Pubblico - Statale;;
7297 ;Accademia di Belle Arti Macerata;Pubblico - Statale;;
7316 ;Accademia di Belle Arti Napoli;Pubblico - Statale;;
7219 ;Accademia di Belle Arti Palermo;Pubblico - Statale;;
7291 ;Accademia di Belle arti di Ravenna;Pubblico - Statale;;
7194 ;Accademia di Belle Arti Reggio Calabria;Pubblico - Statale;;
7295 ;Accademia di Belle Arti Roma;Pubblico - Statale;;
7240 ;Accademia di Belle Arti Sassari;Pubblico - Statale;;
7318 ;Accademia di Belle Arti Urbino;Pubblico - Statale;;
7234 ;Accademia di Belle Arti di Perugia;Pubblico - Statale;;
7196 ;Accademia di Belle Arti Venezia;Pubblico - Statale;;
7306 ;Accademia di Belle Arti di Verona;Pubblico - Statale;;
7213 ;Accademia di Belle Arti di Carrara;Pubblico - Statale;;
7215 ;"Accademia Nazionale di Arte Drammatica ""Silvio D'Amico""";Pubblico - Statale;;
7285 ;Accademia Nazionale di Danza Roma ;Pubblico - Statale;;
7198 ;"Conservatorio di Musica ""Antonio Buzzolla"" Adria";Pubblico - Statale;;
7262 ;"Conservatorio di Musica ""Antonio Vivaldi"" Alessandria";Pubblico - Statale;;
7257 ;"Conservatorio di Musica ""Domenico Cimarosa"" Avellino";Pubblico - Statale;;
7305 ;"Conservatorio di Musica ""Niccolò Piccinni"" Bari";Pubblico - Statale;;
7301 ;"Conservatorio di Musica ""Nicola Sala"" Benevento";Pubblico - Statale;;
7199 ;"Conservatorio di Musica ""Giovan B. Martini"" Bologna";Pubblico - Statale;;
7270 ;"Conservatorio di Musica ""Claudio Monteverdi"" Bolzano";Pubblico - Statale;;
7300 ;"Conservatorio di Musica ""Luca Marenzio"" Brescia";Pubblico - Statale;BRESCIA - Conservatorio di Musica statale - Luca Marenzio (sezione staccata DARFO BOARIO TERME (BS));7242 
7320 ;"Conservatorio di Musica ""Pierluigi da Palestrina"" Cagliari";Pubblico - Statale;;
7210 ;"Conservatorio di Musica ""Lorenzo Perosi"" Campobasso";Pubblico - Statale;;
7201 ;"Conservatorio di Musica ""A. Steffani"" Castelfranco Veneto";Pubblico - Statale;;
7248 ;Conservatorio di Musica Achille Peri e Claudio Merulo di reggio Emilia e Castel Novo ne' Monti;Pubblico - Statale;;
7202 ;"Conservatorio di Musica ""Bruno Maderna"" Cesena";Pubblico - Statale;;
7304 ;"Conservatorio di Musica ""Giuseppe Verdi"" Como";Pubblico - Statale;;
7209 ;"Conservatorio di Musica ""Stanislao Giacomantonio"" Cosenza";Pubblico - Statale;;
7324 ;"Conservatorio di Musica ""G.F. Ghedini"" Cuneo";Pubblico - Statale;;
7203 ;"Conservatorio di Musica ""Giovambattista Pergolesi"" Fermo";Pubblico - Statale;;
7258 ;"Conservatorio di Musica ""Girolamo Frescobaldi"" Ferrara";Pubblico - Statale;;
7326 ;"Conservatorio di Musica ""Luigi Cherubini"" Firenze";Pubblico - Statale;;
7322 ;"Conservatorio di Musica ""Umberto Giordano"" Foggia";Pubblico - Statale;FOGGIA - Conservatorio di Musica statale - Umberto Giordano (sezione staccata RODI GARGANICO (FG));7328 
7331 ;"Conservatorio di Musica ""Licinio Refice"" Frosinone";Pubblico - Statale;;
7293 ;"Conservatorio di Musica ""Nicolò Paganini"" Genova";Pubblico - Statale;;
19454;Istituto Statale Superiore di Studi Musicali e Coreutici Gaetano Braga Teramo;Pubblico - Statale;;
7246 ;"Conservatorio di Musica ""Giacomo Puccini"" La Spezia";Pubblico - Statale;;
7204 ;"Conservatorio di Musica ""Alfredo Casella"" L'Aquila";Pubblico - Statale;;
7286 ;"Conservatorio di Musica ""Ottorino Respighi"" Latina";Pubblico - Statale;;
7239 ;"Conservatorio di Musica ""Tito Schipa"" Lecce";Pubblico - Statale;LECCE - Conservatorio di Musica statale - Tito Schipa (sezione staccata  - CEGLIE MESSAPICA (BR));72391
7333 ;"Conservatorio di Musica ""Lucio Campiani"" Mantova";Pubblico - Statale;;
7271 ;"Conservatorio di Musica ""Egidio R. Duni"" Matera";Pubblico - Statale;;
7290 ;"Conservatorio di Musica ""Arcangelo Corelli"" Messina";Pubblico - Statale;;
7250 ;"Conservatorio di Musica ""Giuseppe Verdi"" Milano";Pubblico - Statale;;
7259 ;"Conservatorio di Musica ""Nino Rota"" Monopoli";Pubblico - Statale;;
7222 ;"Conservatorio di Musica ""S. Pietro a Majella"" Napoli";Pubblico - Statale;;
7317 ;"Conservatorio di Musica ""Guido Cantelli"" Novara";Pubblico - Statale;;
7327 ;"Conservatorio di Musica ""Cesare Pollini"" Padova";Pubblico - Statale;;
7263 ;"Conservatorio di Musica ""Vincenzo Bellini"" Palermo";Pubblico - Statale;;
7220 ;"Conservatorio di Musica ""Arrigo Boito"" Parma";Pubblico - Statale;;
7247 ;"Conservatorio di Musica ""Francesco Morlacchi"" Perugia";Pubblico - Statale;;
7205 ;"Conservatorio di Musica ""Gioacchino Rossini"" Pesaro";Pubblico - Statale;;
7314 ;"Conservatorio di Musica ""Luisa d'Annunzio"" Pescara";Pubblico - Statale;;
7287 ;"Conservatorio di Musica ""Giuseppe Nicolini"" Piacenza";Pubblico - Statale;;
7307 ;"Conservatorio di Musica ""Gesualdo da Venosa"" Potenza";Pubblico - Statale;;
7206 ;"Conservatorio di Musica ""Francesco Cilea"" Reggio Calabria";Pubblico - Statale;;
7309 ;"Conservatorio di Musica ""Santa Cecilia"" Roma";Pubblico - Statale;;
7294 ;"Conservatorio di Musica ""Francesco Venezze"" Rovigo";Pubblico - Statale;;
7214 ;"Conservatorio di Musica ""G. Martucci"" Salerno";Pubblico - Statale;;
7211 ;"Conservatorio di Musica ""Luigi Canepa"" Sassari";Pubblico - Statale;;
7311 ;"Conservatorio di Musica ""Giuseppe Verdi"" Torino";Pubblico - Statale;;
7269 ;"Conservatorio di Musica ""Antonio Scontrino"" Trapani";Pubblico - Statale;;
7288 ;"Conservatorio di Musica ""Francesco A. Bonporti"" Trento";Pubblico - Statale;TRENTO - Conservatorio di Musica statale - Francesco A. Bonporti (sezione staccata  - RIVA DEL GARDA (TN));7260 
7289 ;"Conservatorio di Musica ""Giuseppe Tartini"" Trieste";Pubblico - Statale;;
7335 ;"Conservatorio di Musica ""Jacopo Tomadini"" Udine";Pubblico - Statale;;
7207 ;"Conservatorio di Musica ""Benedetto Marcello"" Venezia";Pubblico - Statale;;
7208 ;"Conservatorio di Musica ""E. F. dall'Abaco"" Verona";Pubblico - Statale;;
7284 ;"Conservatorio di Musica ""Fausto Torrefranca""  Vibo Valentia";Pubblico - Statale;;
7325 ;"Conservatorio di Musica ""Arrigo Pedrollo"" Vicenza";Pubblico - Statale;;
7253 ;"Conservatorio di Musica di Nocera Terinese (CZ) ""P.I. Tchaikovsky""";Pubblico - Statale;;
7255 ;"Conservatorio di Musica di Pavia ""Franco Vittadini""";Pubblico - Statale;;
7283 ;"Conservatorio di Musica di  Ribera (AG) ""Arturo Toscanini""";Pubblico - Statale;;
7319 ;"Conservatorio di Musica di Rimini ""G. Lettimi""";Pubblico - Statale;;
7226 ;"Conservatorio di Musica di Siena ""Rinaldo Franci""";Pubblico - Statale;;
7265 ;ISSM Aosta della Valle d'Aosta;Pubblico - NON Statale;;
7329 ;"Conservatorio di Musica di Caltanisetta ""Vincenzo Bellini"" ";Pubblico - Statale;;
7224 ;"Conservatorio di Musica di Catania ""Vincenzo Bellini""";Pubblico - Statale;;
7249 ;"Conservatorio di Musica di Cremona ""Claudio Monteverdi""";Pubblico - Statale;;
7323 ;"Conservatorio di Musica di Gallarate (VA) ""Giacomo Puccini""";Pubblico - Statale;;
7298 ;"Conservatorio di Musica di Livorno ""Pietro Mascagni""";Pubblico - Statale;;
7268 ;"Conservatorio di Musica di Lucca ""Luigi Boccherini""";Pubblico - Statale;;
7264 ;"Conservatorio di Musica di Modena ""Orazio Vecchi - Antonio Tonelli""";Pubblico - Statale;;
7225 ;"Conservatorio di Musica di Ravenna ""Giuseppe Verdi""";Pubblico - Statale;;
7261 ;"Conservatorio di Musica di Taranto ""Giovanni Paisiello""";Pubblico - Statale;;
7227 ;"Conservatorio di Musica di Terni ""Giulio Briccialdi""";Pubblico - Statale;;
7303 ;Istituto sup. per le industrie artistiche (ISIA) - Faenza;Pubblico - Statale;;
7197 ;Istituto sup. per le industrie artistiche (ISIA) - Firenze;Pubblico - Statale;;
7241 ;Istituto sup. per le industrie artistiche (ISIA) - Roma;Pubblico - Statale;;
7252 ;Istituto sup. per le industrie artistiche (ISIA) - Urbino;Pubblico - Statale;;
34050;Istituto sup. per le industrie artistiche (ISIA) - Pescara;Pubblico - Statale;;
7315 ;Politecnico delle Arti di Bergamo;Pubblico - Statale;;
