ID_CLASSE;CODICE_CLASSE;DESCRIZIONE;TIPO_LAUREA;
4;4;Scienze dell'architettura e dell'ingegneria edile;LT;
7;7;Urbanistica e scienze della pianificazione territoriale e ambientale;LT;
10;10;Ingegneria industriale;LT;
8;8;Ingegneria civile e ambientale;LT;
9;9;Ingegneria dell'informazione;LT;
41;41;Tecnologie per la conservazione e il restauro dei beni culturali;LT;
32;32;Scienze matematiche;LT;
26;26;Scienze e tecnologie informatiche;LT;
25;25;Scienze e tecnologie fisiche;LT;
21;21;Scienze e tecnologie chimiche;LT;
16;16;Scienze della Terra;LT;
12;12;Scienze biologiche;LT;
27;27;Scienze e tecnologie per l'ambiente e la natura;LT;
34;34;Scienze e tecniche psicologiche;LT;
22;22;Scienze e tecnologie della navigazione marittima e aerea;LT;
40;40;Scienze e tecnologie zootecniche e delle produzioni animali;LT;
20;20;Scienze e tecnologie agrarie, agroalimentari e forestali;LT;
13;13;Scienze dei beni culturali;LT;
14;14;Scienze della comunicazione;LT;
23;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;LT;
29;29;Filosofia;LT;
30;30;Scienze geografiche;LT;
5;5;Lettere;LT;
11;11;Lingue e culture moderne;LT;
18;18;Scienze dell'educazione e della formazione;LT;
39;39;Scienze del turismo;LT;
38;38;Scienze storiche;LT;
31;31;Scienze giuridiche;LT;
2;2;Scienze dei servizi giuridici;LT;
28;28;Scienze economiche;LT;
17;17;Scienze dell'economia e della gestione aziendale;LT;
37;37;Scienze statistiche;LT;
15;15;Scienze politiche e delle relazioni internazionali;LT;
19;19;Scienze dell'amministrazione;LT;
6;6;Scienze del servizio sociale;LT;
36;36;Scienze sociologiche;LT;
24;24;Scienze e tecnologie farmaceutiche;LT;
3;3;Scienze della mediazione linguistica;LT;
1;1;Biotecnologie;LT;
33;33;Scienze delle attivita motorie e sportive;LT;
35;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;LT;
42;42;Disegno industriale;LT;
1001;1/S;Specialistiche in antropologia culturale ed etnologia;LS;
1002;2/S;Specialistiche in archeologia;LS;
1003;3/S;Specialistiche in architettura del paesaggio;LS;
1004;4/S;Specialistiche in architettura e ingegneria edile;LS;
1005;5/S;Specialistiche in archivistica e biblioteconomia;LS;
1006;6/S;Specialistiche in biologia;LS;
1007;7/S;Specialistiche in biotecnologie agrarie;LS;
1008;8/S;Specialistiche in biotecnologie industriali;LS;
1009;9/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;LS;
1010;10/S;Specialistiche in conservazione dei beni architettonici e ambientali;LS;
1011;11/S;Specialistiche in conservazione dei beni scientifici e della civilta industriale;LS;
1012;12/S;Specialistiche in conservazione e restauro del patrimonio storico-artistico;LS;
1013;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;LS;
1014;14/S;Specialistiche in farmacia e farmacia industriale;TU;
1015;15/S;Specialistiche in filologia e letterature dell'antichita;LS;
1016;16/S;Specialistiche in filologia moderna;LS;
1017;17/S;Specialistiche in filosofia e storia della scienza;LS;
1018;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;LS;
1019;19/S;Specialistiche in finanza;LS;
1020;20/S;Specialistiche in fisica;LS;
1021;21/S;Specialistiche in geografia;LS;
1022;22/S;Specialistiche in giurisprudenza;LS;
1023;23/S;Specialistiche in informatica;LS;
1024;24/S;Specialistiche in informatica per le discipline umanistiche;LS;
1025;25/S;Specialistiche in ingegneria aerospaziale e astronautica;LS;
1026;26/S;Specialistiche in ingegneria biomedica;LS;
1027;27/S;Specialistiche in ingegneria chimica;LS;
1028;28/S;Specialistiche in ingegneria civile;LS;
1029;29/S;Specialistiche in ingegneria dell'automazione;LS;
1030;30/S;Specialistiche in ingegneria delle telecomunicazioni;LS;
1031;31/S;Specialistiche in ingegneria elettrica;LS;
1032;32/S;Specialistiche in ingegneria elettronica;LS;
1033;33/S;Specialistiche in ingegneria energetica e nucleare;LS;
1034;34/S;Specialistiche in ingegneria gestionale;LS;
1035;35/S;Specialistiche in ingegneria informatica;LS;
1036;36/S;Specialistiche in ingegneria meccanica;LS;
1037;37/S;Specialistiche in ingegneria navale;LS;
1038;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;LS;
1039;39/S;Specialistiche in interpretariato di conferenza;LS;
1040;40/S;Specialistiche in lingua e cultura italiana;LS;
1041;41/S;Specialistiche in lingue e letterature afroasiatiche;LS;
1042;42/S;Specialistiche in lingue e letterature moderne euroamericane;LS;
1043;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;LS;
1044;44/S;Specialistiche in linguistica;LS;
1045;45/S;Specialistiche in matematica;LS;
1046;46/S;Specialistiche in medicina e chirurgia;TU;
1047;47/S;Specialistiche in medicina veterinaria;TU;
1048;48/S;Specialistiche in metodi per l'analisi valutativa dei sistemi complessi;LS;
1049;49/S;Specialistiche in metodi per la ricerca empirica nelle scienze sociali;LS;
1050;50/S;Specialistiche in modellistica matematico-fisica per l'ingegneria;LS;
1051;51/S;Specialistiche in musicologia e beni musicali;LS;
1052;52/S;Specialistiche in odontoiatria e protesi dentaria;TU;
1053;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;LS;
1054;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;LS;
1055;55/S;Specialistiche in progettazione e gestione dei sistemi turistici;LS;
1056;56/S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;LS;
1057;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;LS;
1058;58/S;Specialistiche in psicologia;LS;
1059;59/S;Specialistiche in pubblicita e comunicazione d'impresa;LS;
1060;60/S;Specialistiche in relazioni internazionali;LS;
1061;61/S;Specialistiche in scienza e ingegneria dei materiali;LS;
1062;62/S;Specialistiche in scienze chimiche;LS;
1063;63/S;Specialistiche in scienze cognitive;LS;
1064;64/S;Specialistiche in scienze dell'economia;LS;
1065;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;LS;
1066;66/S;Specialistiche in scienze dell'universo;LS;
1067;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;LS;
1068;68/S;Specialistiche in scienze della natura;LS;
1069;69/S;Specialistiche in scienze della nutrizione umana;LS;
1070;70/S;Specialistiche in scienze della politica;LS;
1071;71/S;Specialistiche in scienze delle pubbliche amministrazioni;LS;
1072;72/S;Specialistiche in scienze delle religioni;LS;
1073;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;LS;
1074;74/S;Specialistiche in scienze e gestione delle risorse rurali e forestali;LS;
1075;75/S;Specialistiche in scienze e tecnica dello sport;LS;
1076;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;LS;
1077;77/S;Specialistiche in scienze e tecnologie agrarie;LS;
1078;78/S;Specialistiche in scienze e tecnologie agroalimentari;LS;
1079;79/S;Specialistiche in scienze e tecnologie agrozootecniche;LS;
1080;80/S;Specialistiche in scienze e tecnologie dei sistemi di navigazione;LS;
1081;81/S;Specialistiche in scienze e tecnologie della chimica industriale;LS;
1082;82/S;Specialistiche in scienze e tecnologie per l'ambiente e il territorio;LS;
1083;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;LS;
1084;84/S;Specialistiche in scienze economico-aziendali;LS;
1085;85/S;Specialistiche in scienze geofisiche;LS;
1086;86/S;Specialistiche in scienze geologiche;LS;
1087;87/S;Specialistiche in scienze pedagogiche;LS;
1088;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;LS;
1089;89/S;Specialistiche in sociologia;LS;
1090;90/S;Specialistiche in statistica demografica e sociale;LS;
1091;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;LS;
1092;92/S;Specialistiche in statistica per la ricerca sperimentale;LS;
1093;93/S;Specialistiche in storia antica;LS;
1094;94/S;Specialistiche in storia contemporanea;LS;
1095;95/S;Specialistiche in storia dell'arte;LS;
1096;96/S;Specialistiche in storia della filosofia;LS;
1097;97/S;Specialistiche in storia medievale;LS;
1098;98/S;Specialistiche in storia moderna;LS;
1099;99/S;Specialistiche in studi europei;LS;
1100;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;LS;
1101;101/S;Specialistiche in teoria della comunicazione;LS;
1102;102/S;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;LS;
1103;103/S;Specialistiche in teorie e metodi del disegno industriale;LS;
1104;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;LS;
43;SNT/1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;LT;
44;SNT/2;Professioni sanitarie della riabilitazione;LT;
45;SNT/3;Professioni sanitarie tecniche;LT;
46;SNT/4;Professioni sanitarie della prevenzione;LT;
47;DS/1;Scienze della difesa e della sicurezza;LT;
1105;DS/S;Specialistiche nelle scienze della difesa e della sicurezza;LS;
1106;SNT_SPEC/1;Specialistiche nelle scienze infermieristiche e ostetriche;LS;
1107;SNT_SPEC/2;Specialistiche nelle scienze delle professioni sanitarie della riabilitazione;LS;
1108;SNT_SPEC/3;Specialistiche nelle scienze delle professioni sanitarie tecniche;LS;
1109;SNT_SPEC/4;Specialistiche nelle scienze delle professioni sanitarie della prevenzione;LS;
2001;L-1;Beni culturali;MT;
2002;L-2;Biotecnologie;MT;
2003;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;MT;
2004;L-4;Disegno industriale;MT;
2005;L-5;Filosofia;MT;
2006;L-6;Geografia;MT;
2007;L-7;Ingegneria civile e ambientale;MT;
2008;L-8;Ingegneria dell'informazione;MT;
2009;L-9;Ingegneria industriale;MT;
2010;L-10;Lettere;MT;
2011;L-11;Lingue e culture moderne;MT;
2012;L-12;Mediazione linguistica;MT;
2013;L-13;Scienze biologiche;MT;
2014;L-14;Scienze dei servizi giuridici;MT;
2015;L-15;Scienze del turismo;MT;
2016;L-16;Scienze dell'amministrazione e dell'organizzazione;MT;
2017;L-17;Scienze dell'architettura;MT;
2018;L-18;Scienze dell'economia e della gestione aziendale;MT;
2019;L-19;Scienze dell'educazione e della formazione;MT;
2020;L-20;Scienze della comunicazione;MT;
2021;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;MT;
2022;L-22;Scienze delle attività motorie e sportive;MT;
2023;L-23;Scienze e tecniche dell'edilizia;MT;
2024;L-24;Scienze e tecniche psicologiche;MT;
2025;L-25;Scienze e tecnologie agrarie e forestali;MT;
2026;L-26;Scienze e tecnologie alimentari;MT;
2027;L-27;Scienze e tecnologie chimiche;MT;
2028;L-28;Scienze e tecnologie della navigazione;MT;
2029;L-29;Scienze e tecnologie farmaceutiche;MT;
2030;L-30;Scienze e tecnologie fisiche;MT;
2031;L-31;Scienze e tecnologie informatiche;MT;
2032;L-32;Scienze e tecnologie per l'ambiente e la natura;MT;
2033;L-33;Scienze economiche;MT;
2034;L-34;Scienze geologiche;MT;
2035;L-35;Scienze matematiche;MT;
2036;L-36;Scienze politiche e delle relazioni internazionali;MT;
2037;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;MT;
2038;L-38;Scienze zootecniche e tecnologie delle produzioni animali;MT;
2039;L-39;Servizio sociale;MT;
2040;L-40;Sociologia;MT;
2041;L-41;Statistica;MT;
2042;L-42;Storia;MT;
2044;L-43;Diagnostica per la conservazione dei beni culturali;MT;
2046;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;MT;
2047;L/SNT2;Professioni sanitarie della riabilitazione;MT;
2048;L/SNT3;Professioni sanitarie tecniche;MT;
2049;L/SNT4;Professioni sanitarie della prevenzione;MT;
2051;L/SC;Scienze criminologiche e della sicurezza;MT;
2052;L/DS;Scienze della difesa e della sicurezza;MT;
3001;LMG/01;Magistrali in giurisprudenza;LM;
3002;LM-1;Antropologia culturale ed etnologia;MS;
3003;LM-2;Archeologia;MS;
3004;LM-3;Architettura del paesaggio;MS;
3005;LM-4;Architettura e ingegneria edile-architettura;MS;
3006;LM-5;Archivistica e biblioteconomia;MS;
3007;LM-6;Biologia;MS;
3008;LM-7;Biotecnologie agrarie;MS;
3009;LM-8;Biotecnologie industriali;MS;
3010;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;MS;
3011;LM-10;Conservazione dei beni architettonici e ambientali;MS;
3012;LM-11;Scienze per la conservazione dei beni culturali;MS;
3013;LM-12;Design;MS;
3014;LM-13;Farmacia e farmacia industriale;LM;
3015;LM-14;Filologia moderna;MS;
3016;LM-15;Filologia, letterature e storia dell'antichità;MS;
3017;LM-16;Finanza;MS;
3018;LM-17;Fisica;MS;
1218;18-bis;Scienze della Formazione Primaria - Quadriennale;LV;
1204;4/S C.U.;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;TU;
1231;31-bis;Scienze giuridiche - Quinquennale;LV;
2054;L-P01;Professioni tecniche per l'edilizia e il territorio;MT;
2055;L-P02;Professioni tecniche agrarie, alimentari e forestali;MT;
2056;L-P03;Professioni tecniche industriali e dell’informazione;MT;
2057;L-Sc.Mat.;Scienze dei Materiali;MT;
3137;LM-53.;Ingegneria dei materiali;MS;
3136;LM-Data;Data Science;MS;
3135;LM-Sc.Mat.;Scienze dei Materiali;MS;
3019;LM-18;Informatica;MS;
3020;LM-19;Informazione e sistemi editoriali;MS;
3021;LM-20;Ingegneria aerospaziale e astronautica;MS;
3022;LM-21;Ingegneria biomedica;MS;
3023;LM-22;Ingegneria chimica;MS;
3024;LM-23;Ingegneria civile;MS;
3025;LM-24;Ingegneria dei sistemi edilizi;MS;
3026;LM-25;Ingegneria dell'automazione;MS;
3027;LM-26;Ingegneria della sicurezza;MS;
3028;LM-27;Ingegneria delle telecomunicazioni;MS;
3029;LM-28;Ingegneria elettrica;MS;
3030;LM-29;Ingegneria elettronica;MS;
3031;LM-30;Ingegneria energetica e nucleare;MS;
3032;LM-31;Ingegneria gestionale;MS;
3033;LM-32;Ingegneria informatica;MS;
3034;LM-33;Ingegneria meccanica;MS;
3035;LM-34;Ingegneria navale;MS;
3036;LM-35;Ingegneria per l'ambiente e il territorio;MS;
3037;LM-36;Lingue e letterature dell'Africa e dell'Asia;MS;
3038;LM-37;Lingue e letterature moderne europee e americane;MS;
3039;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;MS;
3040;LM-39;Linguistica;MS;
3041;LM-40;Matematica;MS;
3042;LM-41;Medicina e chirurgia;LM;
3043;LM-42;Medicina veterinaria;LM;
3044;LM-43;Metodologie informatiche per le discipline umanistiche;MS;
3045;LM-44;Modellistica matematico-fisica per l'ingegneria;MS;
3046;LM-45;Musicologia e beni musicali;MS;
3047;LM-46;Odontoiatria e protesi dentaria;LM;
3048;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;MS;
3049;LM-48;Pianificazione territoriale urbanistica e ambientale;MS;
3050;LM-49;Progettazione e gestione dei sistemi turistici;MS;
3051;LM-50;Programmazione e gestione dei servizi educativi;MS;
3052;LM-51;Psicologia;MS;
3053;LM-52;Relazioni internazionali;MS;
3054;LM-53;Scienza e ingegneria dei materiali;MS;
3055;LM-54;Scienze chimiche;MS;
3056;LM-55;Scienze cognitive;MS;
3057;LM-56;Scienze dell'economia;MS;
3058;LM-57;Scienze dell'educazione degli adulti e della formazione continua;MS;
3059;LM-58;Scienze dell'universo;MS;
3060;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;MS;
3061;LM-60;Scienze della natura;MS;
3062;LM-61;Scienze della nutrizione umana;MS;
3063;LM-62;Scienze della politica;MS;
3064;LM-63;Scienze delle pubbliche amministrazioni;MS;
3065;LM-64;Scienze delle religioni;MS;
3066;LM-65;Scienze dello spettacolo e produzione multimediale;MS;
3067;LM-66;Sicurezza informatica;MS;
3068;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;MS;
3069;LM-68;Scienze e tecniche dello sport;MS;
3070;LM-69;Scienze e tecnologie agrarie;MS;
3071;LM-70;Scienze e tecnologie alimentari;MS;
3072;LM-71;Scienze e tecnologie della chimica industriale;MS;
3073;LM-72;Scienze e tecnologie della navigazione;MS;
3074;LM-73;Scienze e tecnologie forestali ed ambientali;MS;
3075;LM-74;Scienze e tecnologie geologiche;MS;
3076;LM-75;Scienze e tecnologie per l'ambiente e il territorio;MS;
3077;LM-76;Scienze economiche per l'ambiente e la cultura;MS;
3078;LM-77;Scienze economico-aziendali;MS;
3079;LM-78;Scienze filosofiche;MS;
3080;LM-79;Scienze geofisiche;MS;
3081;LM-80;Scienze geografiche;MS;
3082;LM-81;Scienze per la cooperazione allo sviluppo;MS;
3083;LM-82;Scienze statistiche;MS;
3084;LM-83;Scienze statistiche attuariali e finanziarie;MS;
3085;LM-84;Scienze storiche;MS;
3086;LM-85;Scienze pedagogiche;MS;
3087;LM-86;Scienze zootecniche e tecnologie  animali;MS;
3088;LM-87;Servizio sociale e politiche sociali;MS;
3089;LM-88;Sociologia e ricerca sociale;MS;
3090;LM-89;Storia dell'arte;MS;
3091;LM-90;Studi europei;MS;
3092;LM-91;Tecniche e metodi per la società dell'informazione;MS;
3093;LM-92;Teorie della comunicazione;MS;
3094;LM-93;Teorie e metodologie dell'e-learning e della media education;MS;
3095;LM-94;Traduzione specialistica e interpretariato;MS;
3109;LM/SNT1;Scienze infermieristiche e ostetriche;MS;
3110;LM/SNT2;Scienze riabilitative delle professioni sanitarie;MS;
3111;LM/SNT3;Scienze delle professioni sanitarie tecniche;MS;
3112;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;MS;
3115;LM/SC;Scienze criminologiche applicate all'investigazione e alla sicurezza;MS;
3118;LM/DS;Scienze della difesa e della sicurezza;MS;
3119;LM-4 C.U.;Architettura e ingegneria edile-architettura (quinquennale);LM;
3120;LM-85 bis;Scienze della formazione primaria;LM;
3124;LMR/02;Conservazione e restauro dei beni culturali;LM;
2053;L/GASTR;Scienze, culture e politiche della gastronomia;MT;
3133;LM/GASTR;Scienze economiche  e sociali della gastronomia;MS;
3134;LM/SC-GIUR;Scienze Giuridiche;MS;
3122;LM-37.;Lingue e letterature moderne europee e americane (abilitazione A045);MS;
3121;LM-14.;Filologia moderna (abilitazione A043);MS;
3125;LM-67.;Scienze e tecniche delle attività motorie preventive e adattate (abilitazione A030);MS;
3126;LM-45.;Musicologia e beni musicali (abilitazione A032);MS;
3128;LM-68.;Scienze e tecniche dello sport (abilitazione A030);MS;
3123;LM-95;Classe di abilitazione A059 - Matematica e scienze nella scuola secondaria di I grado;MS;
3127;LM-96;Classe di abilitazione A033 - Tecnologia;MS;
99997;99997;Classe generica per le scuole di specializzazione riformate;;
99998;99998;Classe non richiesta;;
3138;LM-13.;Farmacia e farmacia industriale;LM;
99999;99999;Classe non definita;;
